age,gender,socioeconomic_status,region,high_school_score,GPA,credits_completed,failures,attendance_rate,assignment_submission_rate,commute_time_minutes,peer_interaction_score,program_duration_months,dropout_score,dropout_flag
23,Female,2,2,66,2.732412237,91,1,91.91391065,71.84020609,20.25277215,56.56539098,36,5.841186956,0
20,Female,1,2,65,1.096784035,115,0,82.40067016,100,16.18502822,42.54074132,12,12.55202562,0
29,Female,3,2,75,2.526579052,16,2,60.2525751,74.59578908,49.49434747,89.85709197,24,14.76011662,0
27,Male,1,1,61,2.330137325,13,1,70.00951057,80.93133552,14.25369052,71.29426495,24,8.858397558,0
24,Female,2,2,65,3.294665493,76,1,75.5056514,75.44765834,22.48914986,85.10416938,12,8.581720968,0
29,Female,3,2,75,2.019565115,23,1,99.00389016,93.31811724,52.62249811,79.94266252,48,4.201504382,0
21,Male,2,3,64,2.79365085,86,1,64.90011555,92.73484099,33.88500614,63.59095614,24,8.109750741,0
23,Other,2,3,62,2.021508793,98,1,67.43507686,47.1118313,39.22604273,85.72022451,24,14.44620993,0
26,Male,3,3,62,1.010159926,26,2,94.27698154,86.16735333,19.97447695,39.19214986,6,18.11790143,1
19,Male,2,2,73,1.48818802,72,1,99.70919785,94.87888954,21.68842589,66.41050488,48,13.9444468,0
23,Female,1,2,57,2.409818866,65,1,84.42701034,96.90852031,21.1878778,55.69891017,12,6.578319885,0
27,Other,1,1,77,2.237744838,12,2,78.47279102,90.85073717,31.02193634,53.68660917,6,8.677831219,0
27,Male,2,3,91,2.762534221,19,1,89.50723505,55.83221715,41.30960797,93.90538713,24,8.723720418,0
24,Male,2,1,70,2.172467543,0,2,82.89192824,88.75332152,34.55105964,90.84855123,24,5.108616123,0
21,Female,1,2,74,1.740259966,70,0,93.45667592,68.24393492,25.91344337,100,36,13.66947492,0
20,Female,3,1,72,2.297936965,9,0,72.55510384,89.21913851,51.29701258,89.96011097,48,7.106108455,0
24,Female,2,2,73,2.435189664,99,3,88.01781048,62.5377478,26.0514318,54.22157819,24,13.01577573,0
19,Female,3,1,72,0.899803635,32,0,87.0982039,92.67778843,34.69556888,29.31812213,12,19.6806546,1
22,Male,2,3,87,2.735658923,62,1,69.34848616,86.98445895,33.21892643,32.49558835,24,16.08263393,1
21,Other,1,1,72,2.773577523,77,0,86.21029629,100,36.21834989,38.43023582,24,7.757940741,0
18,Male,3,3,82,3.359177054,79,2,84.83732937,67.79546762,28.77991473,72.5744966,48,7.863213984,0
24,Female,1,3,74,2.14249618,47,0,75.64130135,82.75369946,38.68520589,76.95559875,36,7.458684812,0
28,Male,1,2,64,2.946810845,108,2,84.97757465,99.59346197,2,84.03600155,36,3.065465775,0
22,Male,1,1,58,1.319198748,23,1,77.22209781,94.29407858,27.63464496,54.60005545,12,12.21948117,0
18,Female,2,3,73,2.705257462,30,0,75.81653031,69.46809863,40.74811372,66.02655613,36,9.416479144,0
28,Other,2,2,77,1.990222452,6,3,87.34334983,68.37167127,49.92384109,97.1450104,12,7.373354823,0
21,Female,1,3,69,2.104174264,14,0,77.32360561,100,39.58026465,61.86608623,24,4.535278879,0
17,Female,3,3,63,3.633784233,42,1,74.82137363,66.34371058,13.9946895,57.58859254,24,10.08416869,0
28,Male,1,3,84,1.932634228,0,3,100,100,2,68.19847068,48,0.67365772,0
26,Female,1,2,65,2.832208301,48,0,96.00449715,69.99002866,27.86201599,17.79588345,6,10.30059627,0
22,Male,2,3,58,2.505392082,67,0,90.50370055,80.2032041,41.96306998,45.4010407,24,4.868779276,0
29,Male,2,2,69,3.126624174,8,0,92.23965765,55.10777865,37.62507087,53.33021358,6,16.28590167,1
28,Male,1,2,70,1.72820151,47,0,100,56.2986896,41.66149014,72.18356596,12,9.273181465,0
25,Female,1,3,62,1.457270207,109,2,100,84.05384653,38.14280971,68.40552307,24,10.81922095,0
17,Other,2,3,69,1.637521649,65,2,69.19722446,70.6349018,29.46592641,80.35594448,6,14.19010334,0
27,Male,1,3,74,2.220859865,74,0,77.58339754,84.16907038,13.88792482,23.18379837,24,14.85795993,0
26,Male,1,1,59,2.377432298,57,2,84.30538659,56.96544727,31.4630775,70.9850349,24,9.59410559,0
28,Female,1,3,66,2.938386259,1,0,100,100,66.26249157,59.39664472,24,8,0
28,Male,2,3,63,2.906552028,58,1,89.63545638,71.89553562,12.04456285,56.46842362,24,9.28857838,0
19,Male,1,1,84,1.415761367,85,0,65.29086373,100,16.39012616,62.07881255,48,12.78421358,0
28,Female,1,2,66,2.857889926,85,0,81.6854351,54.01855017,29.06551655,66.62182635,36,10.56013045,0
23,Other,1,2,61,1.976900246,74,5,69.60792945,98.30147574,21.8297423,72.47152466,24,19.56419029,1
20,Male,1,2,90,2.921204334,57,1,87.13475829,84.96699804,5.77406837,60.64403421,36,4.827998636,0
19,Female,1,1,78,2.335400154,71,1,62.44981216,86.07549835,42.97955356,51.6002045,24,9.598712815,0
21,Female,1,2,75,2.654229943,76,1,84.83505015,63.74194411,34.3706749,96.62796651,12,8.471698354,0
19,Female,1,1,61,2.182734442,91,1,82.23157495,64.92455197,20.90531413,72.39769362,12,8.815002214,0
23,Male,2,1,80,2.559422208,43,0,98.97205737,48.70456147,19.69041568,36.23949362,6,15.8999043,1
21,Male,2,3,73,3.245277235,92,0,82.16681612,94.32686802,21.37088712,100,12,9.417606573,0
25,Other,2,2,63,2.286370653,54,0,92.83419828,57.65823654,25.72466296,85.46099351,48,10.78442486,0
23,Male,1,2,71,3.120950829,82,1,74.91744535,41.66853106,36.14779459,65.78309006,24,16.76623127,1
18,Female,2,3,65,2.989809505,20,1,100,46.44877106,30.02800955,69.33959235,36,8.032684342,0
20,Male,1,3,54,1.983534919,102,0,70.22952619,97.11231502,10.07225476,67.15417702,48,6.551898316,0
28,Female,2,1,51,2.515787707,101,1,95.91598247,59.88468548,27.47927338,98.21245288,24,11.83410068,0
18,Female,2,2,91,3.368298873,107,0,60.90461545,100,18.42513718,96.30680753,24,12.81907691,0
26,Female,2,3,67,3.290661439,99,0,100,72.34854087,30.09107012,46.94127853,24,9.147718869,0
25,Male,2,2,74,2.715160801,40,4,99.29157748,91.97731774,2,45.6476179,24,14.34508684,0
26,Other,3,2,75,2.098326068,113,0,100,100,24.99912942,68.10502629,24,0,0
21,Male,2,2,60,2.994513254,38,1,66.42914576,68.67645496,44.54007656,74.01262473,24,11.4127026,0
18,Male,1,1,67,1.562895156,88,2,72.48686728,84.30402501,21.93741457,76.22037409,6,20.22807123,1
20,Male,2,1,68,2.77879354,14,1,96.72191235,70.14328551,17.50842295,78.45795612,24,8.134124703,0
28,Female,2,3,63,3.195725777,66,1,75.29430554,82.48281499,51.78195974,19.71305772,24,12.56871664,0
28,Female,1,1,80,2.444262738,27,1,100,93.36474597,29.82540859,92.86063477,6,0.995288104,0
23,Male,1,1,57,1.748656012,74,1,90.52496637,57.57774719,28.83627358,83.59070992,6,10.77178452,0
28,Female,2,3,71,2.454565708,75,1,91.97422825,69.75103058,50.44961397,54.80735456,48,6.142499762,0
29,Female,1,1,52,2.737567707,31,0,89.85688387,77.69467086,23.19673634,71.77491949,12,8.374422596,0
24,Female,1,3,72,1.796093581,3,1,76.09468067,100,30.87595427,49.57919478,48,6.820128055,0
19,Female,2,3,71,2.205771935,53,1,68.13135749,85.95964594,31.3877106,71.39965355,24,13.47978161,0
17,Female,3,1,89,3.086964922,11,2,90.38487616,56.23130722,19.79674635,15.80448716,24,16.48832869,1
20,Female,1,2,63,3.172414837,5,0,81.3148808,53.01476444,36.39292968,57.80482067,36,13.78480917,0
18,Male,1,1,68,2.585654259,24,1,100,50.19391022,49.68255301,73.85684881,24,7.470913467,0
24,Male,3,2,67,1.926219497,95,1,97.2811139,82.66178141,38.00930535,71.73923743,6,3.882315035,0
20,Other,1,1,86,0.986438841,89,2,100,87.98229367,24.33204844,100,12,11.93826754,0
18,Male,2,1,64,2.695244414,43,1,89.02953125,81.03469688,36.85608518,33.76948325,48,15.03888922,1
22,Male,1,1,72,1.435342533,57,2,79.66263528,73.4113514,2.506909973,70.48398009,12,16.70234491,1
22,Female,1,2,67,2.604319629,111,1,70.83514971,62.35134049,2,67.35551301,6,19.48026898,1
26,Male,2,2,68,2.058537666,86,0,94.10149005,78.09734212,47.54020059,100,36,4.465100672,0
20,Female,3,3,70,2.95227762,95,0,100,81.98300942,9.358103734,57.74940633,24,2.702548587,0
22,Female,2,2,80,1.714548578,55,0,98.37562715,92.54420824,42.89277989,26.54445087,12,9.297757552,0
29,Other,3,2,84,1.480114453,108,1,80.21837169,79.74848023,26.91119081,47.02805021,24,12.1929091,0
18,Male,1,2,56,2.753007155,101,1,93.70192115,96.89002094,50.73359438,78.30573557,48,4.726112629,0
26,Male,2,1,77,2.470291049,65,1,88.83736334,73.3393068,41.81990682,33.11778934,24,14.23163131,0
28,Female,1,2,82,2.991600582,109,1,81.50960763,67.59374211,14.3177505,55.48795579,24,8.559017158,0
18,Male,1,1,73,3.404794924,45,1,100,100,44.89983936,30.96245122,12,5,0
26,Female,1,1,81,2.164759797,117,1,83.96152912,72.12784669,32.91406081,74.60488723,48,10.38851717,0
20,Female,3,1,57,3.020929633,58,2,94.22449437,81.37800039,36.85079372,50.63736063,6,6.948401066,0
23,Female,1,2,82,1.621404689,30,0,90.42925907,91.95388734,47.82345424,87.01676974,36,6.907018193,0
28,Female,1,1,63,2.49564404,24,0,79.86858765,83.84077852,32.23402285,68.28102369,48,9.450165691,0
25,Male,2,2,57,2.235011575,38,2,100,95.40723965,15.50101728,57.5052896,48,5.688914053,0
24,Male,3,3,81,0.948744652,100,1,77.87680923,57.99911381,46.69141476,62.1311178,24,21.23732457,1
21,Male,2,3,65,3.732388015,79,4,68.79973726,73.11680153,28.05387893,78.44375933,36,20.27253232,1
18,Female,1,3,51,2.169994659,80,0,93.03309664,66.32497271,45.22387251,34.23552384,36,11.44463476,0
21,Male,1,3,64,3.147187467,57,2,60.82537195,100,46.12956535,17.10808745,48,12.83492561,0
24,Male,1,3,63,2.340713688,69,1,99.65996315,82.37824064,57.79323481,34.52855635,24,12.71127127,0
26,Female,1,1,51,2.910956855,119,1,84.62833645,71.84351553,29.42124122,88.40638366,24,7.297805381,0
25,Female,1,3,64,1.949564173,116,2,79.56446224,99.60406785,12.04485417,100,24,4.650855648,0
28,Male,2,1,81,2.584060348,96,1,97.57735534,92.66494205,24.2210211,45.13045862,24,1.584787623,0
28,Female,3,2,73,3.460997096,21,0,75.37643089,87.04973974,47.54365063,46.88796878,36,6.867252861,0
28,Male,3,3,53,2.161245302,70,2,97.94145319,74.21227249,22.64401369,67.56907509,36,4.279868489,0
29,Female,2,1,73,2.825464183,101,0,63.42759757,99.01873416,15.1931809,46.46707102,48,12.46167036,0
25,Female,1,2,77,2.310946826,117,2,74.80279324,55.90576321,42.77453103,69.89151829,36,11.65357687,0
29,Female,1,3,71,2.587049164,38,0,100,76.84120769,8.940878964,54.80749437,36,11.47381885,0
29,Female,3,3,69,2.822484068,90,1,86.6404146,100,11.32705675,43.90495761,6,5.67191708,0
17,Female,1,1,62,1.634061246,119,1,100,92.44191745,36.48449014,84.91921936,6,4.793099919,0
25,Female,1,3,74,1.742455793,51,0,88.40694664,100,21.03237337,62.32049062,48,7.894052741,0
23,Female,1,3,75,2.055996889,22,1,49.4640809,55.53609038,47.96945073,81.38928874,36,16.77677026,1
25,Male,1,1,72,2.971350105,41,1,97.72816699,82.16723985,12.41816903,73.59964829,6,3.129280626,0
24,Male,1,2,87,3.158713857,82,2,100,79.92965499,11.02144885,66.8558831,36,3.010551752,0
17,Female,2,2,67,3.699379933,74,1,82.09353226,94.72960922,23.54853676,65.0543779,24,9.371852166,0
28,Female,2,3,56,2.21592783,82,2,99.48319215,97.97598071,28.31891018,35.33746671,36,5.406964464,0
24,Female,1,1,86,2.110618411,72,2,100,70.43053407,44.67589244,32.00400946,36,9.435419889,0
24,Female,2,2,51,2.582876009,113,0,94.29786993,69.5167682,41.98587705,54.09050285,6,13.71291078,0
27,Female,1,2,66,1.725392776,38,3,85.54834612,88.8081824,32.65982142,56.61972602,12,7.315175653,0
19,Male,1,2,60,3.168834165,23,0,62.50307085,66.88729556,33.81040306,38.01494122,6,20.46629149,1
17,Male,1,2,68,1.827654442,19,1,100,81.15185949,59.28162734,100,36,7.550676661,0
24,Female,1,1,68,1.704740478,17,1,100,88.17171325,41.78146247,47.81783652,36,4.726838227,0
19,Female,1,2,60,1.53179111,39,0,92.18856988,48.5146292,25.30289039,55.68328502,48,13.96718054,0
19,Female,2,2,80,2.028566387,7,1,94.29329787,97.87541539,34.66785119,31.43784005,48,9.460028117,0
17,Female,1,2,68,2.272711925,52,0,68.45147609,59.85549153,16.19548567,100,24,12.33138105,0
27,Female,1,3,82,1.95908521,10,0,77.76630542,78.13714692,16.49514969,55.98293905,24,13.13531477,0
21,Female,3,2,58,1.761075936,59,3,100,63.06056715,39.87403476,22.84904499,24,17.93015557,1
26,Male,2,3,59,3.539525552,7,1,85.12449783,100,40.87285837,100,6,2.975100433,0
23,Female,3,2,58,2.277092302,116,2,84.9257247,76.78592022,2.28239185,47.99137968,12,6.496967026,0
26,Male,1,1,75,2.728293706,99,1,100,100,49.05973886,36.67895749,24,8,0
25,Female,1,1,87,2.820792489,118,2,100,57.32094162,19.69596128,54.98775171,48,6.401858758,0
28,Male,1,1,66,2.099127418,76,0,71.02276781,76.68424466,39.20087436,84.67478452,12,12.29280974,0
23,Male,2,3,46,1.588844261,0,1,83.24787449,100,9.076530425,74.13287408,24,7.461982494,0
25,Male,1,3,74,2.100088959,109,1,65.15955688,82.0813398,37.26739793,64.74067096,12,9.655887654,0
24,Male,1,2,76,2.759639749,39,2,91.34798439,100,46.26284988,72.31397948,36,4.730403122,0
28,Male,2,1,59,1.790592,95,0,73.21346242,80.09110935,43.85209875,69.5756282,6,10.43772111,0
18,Other,2,2,75,2.86348983,90,1,57.89523717,76.89600373,58.50751262,90.91982858,24,11.88655201,0
23,Female,3,1,49,2.469988693,70,2,100,55.36635121,22.50711865,45.22247835,24,6.695047318,0
23,Female,2,2,81,2.928854903,116,2,100,43.45876006,18.90946838,71.38296618,36,8.481185991,0
24,Male,1,3,81,3.25124516,109,0,86.30958067,55.37246023,30.87247852,41.62006775,12,12.43221483,0
21,Male,2,3,66,1.448844977,69,0,76.62757734,60.14015471,16.14809722,50.01228241,36,21.16501155,1
19,Male,2,1,76,2.725168876,108,2,100,89.51944014,26.36006992,79.03217697,24,1.572083978,0
28,Female,1,1,89,3.663362815,80,1,83.01361862,84.49762238,48.43951242,78.1878244,12,8.72263292,0
24,Male,1,1,63,4,40,1,65.76849923,65.13886977,57.36618779,44.4669185,24,12.07546969,0
22,Male,1,1,81,2.502124,44,3,96.27993496,93.59233689,25.88515965,70.18212634,12,4.705162475,0
27,Male,1,2,72,1.833256367,12,2,92.36582645,84.5929544,54.73992668,51.1612518,48,8.505327875,0
19,Female,3,2,58,3.557149677,49,0,95.19536349,66.27891588,26.71840309,56.51861313,36,9.019089919,0
17,Female,3,1,51,2.969121826,25,0,46.1297754,99.32301677,48.40684155,35.38847415,48,15.8755924,1
19,Male,2,1,77,3.885650568,72,1,91.69021357,95.53951043,37.3823518,49.99240362,6,2.331030722,0
21,Female,1,2,56,3.776404451,29,1,100,69.41962044,62.28085881,73.09684296,6,14.58705693,0
19,Male,3,2,79,1.344776454,95,2,58.25329502,69.23767198,53.78785122,89.47277363,24,19.51592566,1
17,Male,1,3,48,2.836646302,109,3,86.94856905,53.77471398,19.79342952,36.36772143,24,14.54407909,0
21,Male,2,2,71,2.704648867,83,1,69.6421075,87.09725686,22.33965421,64.88973469,12,8.00698997,0
26,Female,3,1,66,3.153001302,14,2,81.8795146,41.49310588,31.60195056,48.67974314,36,12.4001312,0
23,Female,1,1,86,2.520411346,60,0,100,100,18.98143297,42.33662452,36,3,0
